Date,SN,Symbol ,Close Price* (Rs) ,Open Price (Rs) ,High Price (Rs) ,Low Price (Rs) ,Total Traded Quantity ,Total Traded Value ,Total Trades ,LTP ,Previous Day Close Price (Rs) ,Average Traded Price (Rs) ,52 Week High (Rs) ,52 Week Low (Rs) ,MarketCapitalization (Rs) (Amt in millions) 
2024-03-04,89,KKHC,247.10,237.60,247.10,237.60,50,"12,191",5,247.10(14.1) ,233.00,243.82,280.50,158.00,"1,150.78"
2024-03-04,90,KMCDB,654.80,648.59,654.80,648.59,439,"286,873.92",4,654.80(12.8) ,642.00,653.47,815.00,526.00,"2,437.96"
2024-03-04,91,KPCL,418.20,418.20,418.20,418.20,60,"25,092",5,418.20(8.2) ,410.00,418.20,476.00,272.40,"3,650.26"
2024-03-04,92,KRBL,371.00,357.10,371.00,357.10,50,"18,134",5,371.00(20.9) ,350.10,362.68,418.00,241.10,"1,865.50"
2024-03-04,93,KSBBL,364.70,338.20,364.70,338.20,"8,984","3,227,788.6",20,364.70(33.1) ,331.60,359.28,382.00,275.00,"11,966.41"
2024-03-04,94,LBBL,393.20,378.00,393.20,378.00,870,"338,315",11,393.20(22.2) ,371.00,388.87,454.00,305.00,"13,833.30"
2024-03-04,95,LEC,189.80,182.50,189.80,182.50,40,"7,482",4,189.80(10.8) ,179.00,187.05,299.80,138.00,"2,847.00"
2024-03-04,96,LICN,"1,352.50","1,326.00","1,352.50","1,326.00",210,"278,725",2,"1,352.50(52.5) ","1,300.00","1,327.26","1,800.00","1,238.00","35,884.53"
2024-03-04,97,LSL,169.00,161.30,169.00,161.30,"7,662","1,264,677.1",12,169.00(10) ,159.00,165.06,208.00,157.00,"39,186.29"
2024-03-04,98,MAKAR,391.60,377.40,391.60,377.40,70,"27,092",7,391.60(21.6) ,370.00,387.03,454.00,213.10,"2,976.16"
2024-03-04,99,MANDU,693.00,667.00,693.60,667.00,"5,300","3,667,755",15,693.00(39) ,654.00,692.03,805.80,373.20,"9,450.00"
2024-03-04,100,MBJC,326.00,308.80,327.00,308.80,"1,970","632,568",12,326.00(23.2) ,302.80,321.10,376.30,246.00,"19,560.00"
2024-03-04,101,MBL,186.10,178.10,186.10,178.10,"2,200","393,927",10,186.10(10.6) ,175.50,179.06,283.00,174.60,"21,627.35"
2024-03-04,102,MCHL,347.70,322.40,347.70,322.40,"1,479","508,743",8,347.70(31.6) ,316.10,343.98,389.00,165.20,"1,886.56"
2024-03-04,103,MDB,395.70,395.70,395.70,395.70,10,"3,957",1,395.70(7.7) ,388.00,395.70,449.80,350.30,"4,397.92"
2024-03-04,104,MEHL,312.00,289.00,312.40,289.00,"8,930","2,777,491",29,312.00(28) ,284.00,311.03,338.00,175.00,"2,496.00"
2024-03-04,105,MEL,228.00,213.00,229.50,213.00,"1,482","337,034.2",19,228.00(19) ,209.00,227.42,275.40,149.00,"6,612.00"
2024-03-04,106,MEN,635.00,593.00,635.00,593.00,"5,650","3,546,483",26,635.00(53.3) ,581.70,627.70,"1,092.00",429.90,"12,496.97"
2024-03-04,107,MERO,538.50,528.00,538.50,528.00,20,"10,665",2,538.50(20.6) ,517.90,533.25,728.00,463.30,"7,108.20"
2024-03-04,108,MFIL,508.00,495.70,517.00,495.70,"4,930","2,482,739.1",13,508.00(22) ,486.00,503.60,587.00,410.00,"6,865.89"
